State,Date Local,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
Massachusetts,4/1/01,0.081818,0.2,11,
Massachusetts,4/1/01,0.068421,0.1,11,1
Massachusetts,4/1/01,0.081818,0.2,11,
Massachusetts,4/1/01,0.068421,0.1,11,1
Massachusetts,4/2/01,0.217391,0.8,18,
Massachusetts,4/2/01,0.195833,0.5,20,6
Massachusetts,4/2/01,0.217391,0.8,18,
Massachusetts,4/2/01,0.195833,0.5,20,6
Massachusetts,4/3/01,0.169565,0.8,23,
Massachusetts,4/3/01,0.166667,0.4,0,5
Massachusetts,4/3/01,0.169565,0.8,23,
Massachusetts,4/3/01,0.166667,0.4,0,5
Massachusetts,4/4/01,0.236364,0.8,18,
Massachusetts,4/4/01,0.258333,0.4,0,5
Massachusetts,4/4/01,0.236364,0.8,18,
Massachusetts,4/4/01,0.258333,0.4,0,5
Massachusetts,4/5/01,0.278261,1.3,19,
Massachusetts,4/5/01,0.25,0.5,20,6
Massachusetts,4/5/01,0.278261,1.3,19,
Massachusetts,4/5/01,0.25,0.5,20,6
Massachusetts,4/6/01,0.595652,2.1,7,
Massachusetts,4/6/01,0.65,1.1,9,13
Massachusetts,4/6/01,0.595652,2.1,7,
Massachusetts,4/6/01,0.65,1.1,9,13
Massachusetts,4/7/01,0.05,0.2,7,
Massachusetts,4/7/01,0.058333,0.2,0,2
Massachusetts,4/7/01,0.05,0.2,7,
Massachusetts,4/7/01,0.058333,0.2,0,2
Massachusetts,4/8/01,0.095652,0.3,14,
Massachusetts,4/8/01,0.091667,0.2,18,2
Massachusetts,4/8/01,0.095652,0.3,14,
Massachusetts,4/8/01,0.091667,0.2,18,2
Massachusetts,4/9/01,0.152174,0.4,7,
Massachusetts,4/9/01,0.175,0.2,0,2
Massachusetts,4/9/01,0.152174,0.4,7,
Massachusetts,4/9/01,0.175,0.2,0,2
Massachusetts,4/10/01,0.095455,0.3,7,
Massachusetts,4/10/01,0.091667,0.2,21,2
Massachusetts,4/10/01,0.095455,0.3,7,
