State,Date Local,CO Mean
Massachusetts,4/1/01,0.081818
Massachusetts,4/2/01,0.217391
Massachusetts,4/3/01,0.169565
Massachusetts,4/4/01,0.258333
Massachusetts,4/5/01,0.278261
Massachusetts,4/6/01,0.65
Massachusetts,4/7/01,0.058333
Massachusetts,4/8/01,0.095652
Massachusetts,4/9/01,0.175
Massachusetts,4/10/01,0.095455
Massachusetts,4/11/01,0.18125
Massachusetts,4/12/01,0.226667
Massachusetts,4/13/01,0.259091
Massachusetts,4/14/01,0.033333
Massachusetts,4/15/01,0.1
Massachusetts,4/16/01,0.15
Massachusetts,4/17/01,0.216667
Massachusetts,4/18/01,0.017391
Massachusetts,4/19/01,0.194444
Massachusetts,4/20/01,0.404167
Massachusetts,4/21/01,0.356522
Massachusetts,4/22/01,0.229167
Massachusetts,4/23/01,0.304348
Massachusetts,4/24/01,0.2875
Massachusetts,4/25/01,0.245455
Massachusetts,4/26/01,0.258333
Massachusetts,4/27/01,0.430435
Massachusetts,4/28/01,0.295833
Massachusetts,4/29/01,0.1
Massachusetts,4/30/01,0.426087
Massachusetts,5/1/01,0.641667
Massachusetts,5/2/01,0.391304
Massachusetts,5/3/01,0.390476
Massachusetts,5/4/01,0.3375
Massachusetts,5/5/01,0.141667
Massachusetts,5/6/01,0.021739
Massachusetts,5/7/01,0.2125
Massachusetts,5/8/01,0.0875
Massachusetts,5/9/01,0.178261
Massachusetts,5/10/01,0.313636
Massachusetts,5/11/01,0.270833
Massachusetts,5/12/01,0.225
Massachusetts,5/13/01,0.0125
Massachusetts,5/14/01,0.017391
Massachusetts,5/15/01,0.029167
Massachusetts,5/16/01,0.013636
Massachusetts,5/17/01,0.130435
Massachusetts,5/18/01,0.221053
Massachusetts,5/19/01,0.2375
Massachusetts,5/20/01,0.143478
Massachusetts,5/21/01,0.233333
Massachusetts,5/22/01,0.222727
Massachusetts,5/23/01,0.216667
Massachusetts,5/24/01,0.216667
Massachusetts,5/25/01,0.222727
Massachusetts,5/26/01,0.221739
Massachusetts,5/27/01,0.208333
Massachusetts,5/28/01,0.327273
Massachusetts,5/29/01,0.3625
Massachusetts,5/30/01,0.141667
Massachusetts,5/31/01,0.066667
Massachusetts,6/1/01,0.230435
Massachusetts,6/2/01,0.33913
Massachusetts,6/3/01,0.259091
Massachusetts,6/4/01,0.275
Massachusetts,6/5/01,0.169565
Massachusetts,6/6/01,0.125
Massachusetts,6/7/01,0.182609
Massachusetts,6/8/01,0.313043
Massachusetts,6/9/01,0.208333
Massachusetts,6/10/01,0.154167
Massachusetts,6/11/01,0.491667
Massachusetts,6/12/01,0.218182
Massachusetts,6/13/01,0.358824
Massachusetts,6/14/01,0.513043
Massachusetts,6/15/01,0.495833
Massachusetts,6/16/01,0.3375
Massachusetts,6/17/01,0.366667
Massachusetts,6/18/01,0.286364
Massachusetts,6/19/01,0.3875
Massachusetts,6/20/01,0.370833
Massachusetts,6/21/01,0.222727
Massachusetts,6/22/01,0.304348
Massachusetts,6/23/01,0.295652
Massachusetts,6/24/01,0.241667
Massachusetts,6/25/01,0.356522
Massachusetts,6/26/01,0.420833
Massachusetts,6/27/01,0.308333
Massachusetts,6/28/01,0.195833
Massachusetts,6/29/01,0.195652
Massachusetts,6/30/01,0.263636
Massachusetts,7/1/01,0.220833
Massachusetts,7/2/01,0.0875
Massachusetts,7/3/01,0.2125
Massachusetts,7/4/01,0.130435
Massachusetts,7/5/01,0.256522
Massachusetts,7/6/01,0.154167
Massachusetts,7/7/01,0.15
Massachusetts,7/8/01,0.166667
Massachusetts,7/9/01,0.322727
Massachusetts,7/10/01,0.320833
Massachusetts,7/11/01,0.179167
Massachusetts,7/12/01,0.013636
Massachusetts,7/13/01,0.026087
Massachusetts,7/14/01,0.030435
Massachusetts,7/15/01,0.086364
Massachusetts,7/16/01,0.126087
Massachusetts,7/17/01,0.225
Massachusetts,7/18/01,0.125
Massachusetts,7/19/01,0.047826
Massachusetts,7/20/01,0.241667
Massachusetts,7/21/01,0.083333
Massachusetts,7/22/01,0.004348
Massachusetts,7/23/01,0.004348
Massachusetts,7/24/01,0.006667
Massachusetts,7/25/01,0.008696
Massachusetts,7/26/01,0.16087
Massachusetts,7/27/01,0.070833
Massachusetts,7/28/01,0.029167
Massachusetts,7/29/01,0.008696
Massachusetts,7/30/01,0.477273
Massachusetts,7/31/01,0.4875
Massachusetts,8/1/01,0.56087
Massachusetts,8/2/01,0.55
Massachusetts,8/3/01,0.478261
Massachusetts,8/4/01,0.445455
Massachusetts,8/7/01,0.523077
Massachusetts,8/8/01,0.326316
Massachusetts,8/9/01,0.452174
Massachusetts,8/10/01,0.533333
Massachusetts,8/11/01,0.166667
Massachusetts,8/12/01,0.095833
Massachusetts,8/13/01,0.33913
Massachusetts,8/14/01,0.3125
Massachusetts,8/15/01,0.430435
Massachusetts,8/16/01,0.379167
Massachusetts,8/17/01,0.304545
Massachusetts,8/18/01,0.247826
Massachusetts,8/19/01,0.379167
Massachusetts,8/20/01,0.333333
Massachusetts,8/21/01,0.517391
Massachusetts,8/22/01,0.304167
Massachusetts,8/23/01,0.3125
Massachusetts,8/24/01,0.252174
Massachusetts,8/25/01,0.1625
Massachusetts,8/26/01,0.1
Massachusetts,8/27/01,0.195652
Massachusetts,8/28/01,0.275
Massachusetts,8/29/01,0.147619
Massachusetts,8/30/01,0.313043
Massachusetts,9/1/01,0.236842
Massachusetts,9/2/01,0.1875
Massachusetts,9/3/01,0.25
Massachusetts,9/4/01,0.506667
Massachusetts,9/5/01,0.55
Massachusetts,9/6/01,0.377778
Massachusetts,9/7/01,0.5
Massachusetts,9/10/01,0.3625
Massachusetts,9/11/01,0.145833
Massachusetts,9/12/01,0.217391
Massachusetts,9/13/01,0.316667
Massachusetts,9/14/01,0.304348
Massachusetts,9/15/01,0.291304
Massachusetts,9/16/01,0.283333
Massachusetts,9/17/01,0.430435
Massachusetts,9/18/01,0.543478
Massachusetts,9/19/01,0.379167
Massachusetts,9/20/01,0.36087
Massachusetts,9/21/01,0.45
Massachusetts,9/22/01,0.316667
Massachusetts,9/23/01,0.46087
Massachusetts,9/24/01,0.466667
Massachusetts,9/25/01,0.290909
Massachusetts,9/26/01,0.1875
Massachusetts,9/27/01,0.3
Massachusetts,9/28/01,0.2875
Massachusetts,9/29/01,0.0125
Massachusetts,9/30/01,0
Massachusetts,10/1/01,0.404545
Massachusetts,10/2/01,0.479167
Massachusetts,10/3/01,0.416667
Massachusetts,10/4/01,0.263636
Massachusetts,10/5/01,0.245833
Massachusetts,10/6/01,0.083333
Massachusetts,10/7/01,0.029167
Massachusetts,10/8/01,0.052174
Massachusetts,10/9/01,0.145833
Massachusetts,10/10/01,0.209091
Massachusetts,10/11/01,0.252174
Massachusetts,10/12/01,0.347619
Massachusetts,10/13/01,0.3
Massachusetts,10/14/01,0.033333
Massachusetts,10/15/01,0.23913
Massachusetts,10/16/01,0.420833
Massachusetts,10/17/01,0.120833
Massachusetts,10/18/01,0.06087
Massachusetts,10/19/01,0.368421
Massachusetts,10/20/01,0.395652
Massachusetts,10/21/01,0.383333
Massachusetts,10/22/01,0.627273
Massachusetts,10/23/01,0.741667
Massachusetts,10/24/01,0.4375
Massachusetts,10/25/01,0.354167
Massachusetts,10/26/01,0.252174
Massachusetts,10/27/01,0.091667
Massachusetts,11/7/01,0.083333
Massachusetts,11/8/01,0.269565
Massachusetts,11/9/01,0.166667
Massachusetts,11/10/01,0.926087
Massachusetts,11/11/01,0.55
Massachusetts,11/12/01,0.058333
Massachusetts,11/13/01,0.526087
Massachusetts,11/14/01,0.530435
Massachusetts,11/15/01,0.804545
Massachusetts,11/16/01,0.383333
Massachusetts,11/17/01,0.178261
Massachusetts,11/18/01,0.229167
Massachusetts,11/19/01,0.241667
Massachusetts,11/20/01,0.134783
Massachusetts,11/21/01,0.318182
Massachusetts,11/22/01,0.804348
Massachusetts,11/23/01,1.216667
Massachusetts,11/24/01,0.504545
Massachusetts,11/25/01,0.4
Massachusetts,11/26/01,0.352174
Massachusetts,11/27/01,0.222222
Massachusetts,11/28/01,0.433333
Massachusetts,11/29/01,0.521739
Massachusetts,11/30/01,1.277273
Massachusetts,12/1/01,0.2875
Massachusetts,12/2/01,0.304348
Massachusetts,12/3/01,0.631818
Massachusetts,12/4/01,0.947826
Massachusetts,12/5/01,1.404348
Massachusetts,12/6/01,0.891667
Massachusetts,12/7/01,0.452174
Massachusetts,12/8/01,0.4
Massachusetts,12/9/01,0.3625
Massachusetts,12/10/01,0.865217
Massachusetts,12/11/01,0.933333
Massachusetts,12/12/01,0.5
Massachusetts,12/13/01,0.995652
Massachusetts,12/14/01,0.754167
Massachusetts,12/15/01,0.329167
Massachusetts,12/16/01,0.178261
Massachusetts,12/17/01,0.804348
Massachusetts,12/18/01,0.5125
Massachusetts,12/19/01,0.880952
Massachusetts,12/20/01,1.108333
Massachusetts,12/21/01,0.258333
Massachusetts,12/22/01,0.182609
Massachusetts,12/23/01,0.6
Massachusetts,12/24/01,0.75
Massachusetts,12/25/01,0.373913
Massachusetts,12/26/01,0.758333
Massachusetts,12/27/01,0.483333
Massachusetts,12/28/01,0.491304
Massachusetts,12/29/01,0.379167
Massachusetts,12/30/01,0.283333
Massachusetts,12/31/01,0.343478
Massachusetts,1/1/02,0.247826
Massachusetts,1/2/02,0.322222
Massachusetts,1/3/02,0.4
Massachusetts,1/11/02,0.690909
Massachusetts,1/12/02,0.530435
Massachusetts,1/13/02,0.479167
Massachusetts,1/14/02,0.481818
Massachusetts,1/15/02,0.666667
Massachusetts,1/16/02,0.425
Massachusetts,1/17/02,0.616667
Massachusetts,1/18/02,0.475
Massachusetts,1/19/02,0.504348
Massachusetts,1/20/02,0.518182
Massachusetts,1/21/02,0.895833
Massachusetts,1/22/02,0.530435
Massachusetts,1/23/02,0.4875
Massachusetts,1/24/02,0.71
Massachusetts,1/25/02,0.3875
Massachusetts,1/26/02,0.418182
Massachusetts,1/27/02,0.730435
Massachusetts,1/28/02,0.852174
Massachusetts,1/29/02,0.845455
Massachusetts,1/30/02,0.6125
Massachusetts,1/31/02,0.3
Massachusetts,2/1/02,0.572727
Massachusetts,2/2/02,0.2
Massachusetts,2/3/02,0.404348
Massachusetts,2/4/02,0.5875
Massachusetts,2/5/02,0.2
Massachusetts,2/6/02,0.39
Massachusetts,2/7/02,0.878261
Massachusetts,2/8/02,0.6375
Massachusetts,2/9/02,0.404348
Massachusetts,2/10/02,0.7
Massachusetts,2/11/02,0.408333
Massachusetts,2/12/02,0.417391
Massachusetts,2/13/02,0.3875
Massachusetts,2/14/02,0.465217
Massachusetts,2/15/02,0.45
Massachusetts,2/16/02,0.618182
Massachusetts,2/17/02,0.958333
Massachusetts,2/18/02,0.33913
Massachusetts,2/19/02,0.605263
Massachusetts,2/20/02,1.01875
