date,close,Name,RealName
2014-01-21,31.246,GM,General Motors
2014-01-22,31.6209,GM,General Motors
2014-01-23,31.3112,GM,General Motors
2014-01-24,30.0154,GM,General Motors
2014-01-27,29.9584,GM,General Motors
2014-01-28,29.9991,GM,General Motors
2014-01-29,29.6242,GM,General Motors
2014-01-30,30.0236,GM,General Motors
2014-01-31,29.4042,GM,General Motors
2014-02-03,28.7278,GM,General Motors
2014-02-04,29.1923,GM,General Motors
2014-02-05,28.7196,GM,General Motors
2014-02-06,28.7115,GM,General Motors
2014-02-07,29.4287,GM,General Motors
2014-02-10,28.4425,GM,General Motors
2014-02-11,28.7278,GM,General Motors
2014-02-12,28.9804,GM,General Motors
2014-02-13,28.687,GM,General Motors
2014-02-14,29.2983,GM,General Motors
2014-02-18,29.5917,GM,General Motors
2014-02-19,29.3635,GM,General Motors
2014-02-20,29.7546,GM,General Motors
2014-02-21,29.9013,GM,General Motors
2014-02-24,29.7872,GM,General Motors
2014-02-25,29.4205,GM,General Motors
2014-02-26,30.0154,GM,General Motors
2014-02-27,29.9665,GM,General Motors
2014-02-28,29.502,GM,General Motors
2014-03-03,29.5102,GM,General Motors
2014-03-04,30.0969,GM,General Motors
2014-03-05,30.5778,GM,General Motors
2014-03-06,30.5941,GM,General Motors
2014-03-07,30.7163,GM,General Motors
2014-03-10,30.2273,GM,General Motors
2014-03-11,28.6707,GM,General Motors
2014-03-12,28.4099,GM,General Motors
2014-03-13,27.7824,GM,General Motors
2014-03-14,28.0291,GM,General Motors
2014-03-17,28.4731,GM,General Motors
2014-03-18,28.9171,GM,General Motors
2014-03-19,28.7033,GM,General Motors
2014-03-20,28.991,GM,General Motors
2014-03-21,28.7855,GM,General Motors
2014-03-24,28.8924,GM,General Motors
2014-03-25,28.3744,GM,General Motors
2014-03-26,28.136,GM,General Motors
2014-03-27,28.3744,GM,General Motors
2014-03-28,28.5553,GM,General Motors
2014-03-31,28.3004,GM,General Motors
2014-04-01,28.2346,GM,General Motors
2014-04-02,28.6786,GM,General Motors
2014-04-03,29.1391,GM,General Motors
2014-04-04,28.6211,GM,General Motors
2014-04-07,28.0455,GM,General Motors
2014-04-08,28.3908,GM,General Motors
2014-04-09,27.6426,GM,General Motors
2014-04-10,27.3795,GM,General Motors
2014-04-11,26.2531,GM,General Motors
2014-04-14,26.7629,GM,General Motors
2014-04-15,27.4289,GM,General Motors
2014-04-16,27.9304,GM,General Motors
2014-04-17,27.9386,GM,General Motors
2014-04-21,27.9386,GM,General Motors
2014-04-22,28.1442,GM,General Motors
2014-04-23,28.2757,GM,General Motors
2014-04-24,28.0948,GM,General Motors
2014-04-25,27.7249,GM,General Motors
2014-04-28,27.7577,GM,General Motors
2014-04-29,27.9468,GM,General Motors
2014-04-30,28.3497,GM,General Motors
2014-05-01,28.6951,GM,General Motors
2014-05-02,28.7526,GM,General Motors
2014-05-05,28.5717,GM,General Motors
2014-05-06,28.5717,GM,General Motors
2014-05-07,28.8348,GM,General Motors
2014-05-08,28.6539,GM,General Motors
2014-05-09,28.1442,GM,General Motors
2014-05-12,28.6293,GM,General Motors
2014-05-13,28.9006,GM,General Motors
2014-05-14,28.7279,GM,General Motors
2014-05-15,28.2511,GM,General Motors
2014-05-16,27.9551,GM,General Motors
2014-05-19,27.5748,GM,General Motors
2014-05-20,27.1904,GM,General Motors
2014-05-21,27.5111,GM,General Motors
2014-05-22,27.4782,GM,General Motors
2014-05-23,27.6509,GM,General Motors
2014-05-27,27.9057,GM,General Motors
2014-05-28,28.4402,GM,General Motors
2014-05-29,28.3251,GM,General Motors
2014-05-30,28.4319,GM,General Motors
2014-06-02,28.6622,GM,General Motors
2014-06-03,28.991,GM,General Motors
2014-06-04,30.027,GM,General Motors
2014-06-05,29.8215,GM,General Motors
2014-06-06,30.3023,GM,General Motors
2014-06-09,30.2609,GM,General Motors
2014-06-10,30.178,GM,General Motors
