Company,Investment,Year,Date,Technology,Note,Link 1
WM Motor,1000,2016,8/24/16,Driverless Cars,Chinese automaker specializing modern work on Avs,https://www.crunchbase.com/organization/wm-motor
Zoox,250,2016,10/4/16,Driverless Cars,Robotics Company creating a fully automated electric vehicle fleet,https://www.crunchbase.com/funding-round/c6873e7f740627344892a7123450214f
CYNGN,85,2015,3/23/15,AI,Software Developers for AI in Autonomous Vehicles,https://www.crunchbase.com/funding-round/335ba3ffe155c9f605f86d6602c8463e
Pearl,50,2016,6/21/16,Software,Develops advanced driver assistance for drivers on the road today and future autonomous vehicles,https://www.crunchbase.com/funding-round/ca8dfa2e8da7c86932ebfb44da2292cb
Drive.ai,50,2017,6/1/17,Software,AI software for autonomous vehicles,https://www.crunchbase.com/organization/drive-ai#/entity
Zoox,40,2015,7/3/15,Driverless Cars,Robotics Company creatinga  fully automated electric vehicle fleet,https://www.crunchbase.com/funding-round/c67fe6d5a74fb19cc04104017b49ab7d
Autotalks,40,2017,6/1/17,Software,Vehicle to Vehicle Communication in Driverless Cars,https://www.crunchbase.com/organization/drive-ai#/entity
Luminar Technologies,36,2017,4/1/17,Sensors,Producing advanced sensor technologies for the autonomous vehicles industry,https://www.crunchbase.com/organization/luminar-technologies
Swift Navigation,34,2017,6/1/17,Digital mapping,,https://www.crunchbase.com/funding-round/33d499bd4fb5b267c9182dd0ee8337c8
Autotalks,30,2017,3/1/17,Software,Vehicle to Vehicle Communication in Driverless Cars,https://www.crunchbase.com/funding-round/28b5c1f9208d0cf3e020fb537dea5b6a
Alta Motors,27,2017,6/6/17,Driverless Cars,Builds and manages electric vehicle technology specifically to be implemented in Avs,https://www.crunchbase.com/funding-round/dc2445259ead7f1e0acb2694a5bfe247
otonomo,25,2017,4/8/17,Software,Cloud-based data exchange platform for AV cars to be connected,https://www.crunchbase.com/funding-round/0b41a6371fb38e71e13ae37e7a9cdd14
DeepMap,25,2017,5/4/17,Digital Mapping,Takes self-driving data into maps,https://www.crunchbase.com/funding-round/56693180ef55381a221a132129bb96cc
Veniam,22,2016,2/11/16,Driverless Cars,Buids network of connected vehicles bring data to cloud. Designed for Avs,https://www.crunchbase.com/funding-round/032d11e8d1f941c1afd43297e1e7d6cc
Oryx Vision,17,2016,10/1/16,LiDAR,Develops solid state depth vision solutions for Avs,https://www.crunchbase.com/organization/oryx-vision
AEye Inc.,16.35,2017,6/13/17,LiDAR,Advanced vision hardware software and algorithms that act as eyes and visual cortex of Avs,https://www.crunchbase.com/funding-round/a9045ec9b9505bbfd568272db7aa36be
Chronocam,15,2016,10/24/16,Sensors,Creates bio-inspired machine vision sensors and systems for autonomous navigation and connected objects,https://www.crunchbase.com/funding-round/54a89e923e10e18bbfe8ffb3e7179730
EasyMile,14.88,2017,1/19/17,Software,Provides software powering Avs,https://www.crunchbase.com/organization/land-systems-corp
Zongmu,14.57,2017,2/27/17,Software,Firm that focuses on self-driving technology development,https://www.crunchbase.com/organization/zongmu
Alta Motors,13,2016,10/1/16,Driverless Cars,Builds and manages electric vehicle technology specifically to be implemented in Avs,https://www.crunchbase.com/funding-round/31e507c54de129f4cf368799818cfe06
Drive.ai,12,2016,3/1/16,Software,AI software for autonomous vehicles,https://www.crunchbase.com/organization/drive-ai#/entity
Nauto Inc.,12,2016,4/13/16,AI,AI powered AV Tech company,https://www.crunchbase.com/funding-round/2a31c54998f3d5ec1cde63b87f06a814
otonomo,12,2016,11/1/16,Software,Cloud-based data exchange platform for AV cars to be connected,https://www.crunchbase.com/funding-round/89c767a5025a0c7a7d540bb57d375a48
Swift Navigation,11,2015,12/8/15,Digital Mapping,,https://www.crunchbase.com/funding-round/ad93e4b2aa4c0260793ba91d8cc51c43
Oxbotica Ltd,10.79,2017,4/1/17,Software,Developing software that makes next generation of Avs,https://www.crunchbase.com/organization/oxbotica-ltd#/entity
Renovo Auto,10,2017,5/1/17,Driverless Cars,Builds tech for self-driving systems with a focus on data analytics,https://www.crunchbase.com/funding-round/232e5985430b5cbd8690830959cdc193
Innoviz Technologies,9,2016,8/1/16,Software,Develops software for autonomous vehicles,https://www.crunchbase.com/organization/innoviz-technologies#/entity
DeepMap,7,2016,5/1/16,Digital Mapping,Takes self-driving data into maps,https://www.crunchbase.com/funding-round/540787e124d15bf0724d806f2d8f452a
AImotive,6.72,2016,3/29/16,AI,Develops artificial intelligence-based software for self-driving cars to make automated driving safe and affordable.,https://www.crunchbase.com/funding-round/167ea2a99b45e4e0aec8f64fe58524ca
Carmera,6.4,2017,6/6/17,Digital Mapping,Builds 3D maps and navigation data for Avs,https://www.crunchbase.com/funding-round/ee947f792ae4096618ff4f578da87ff0
Optimus Ride,5.25,2016,10/1/16,Driverless Cars,Develops self-driving tech to enable safe sustainable and equitable mobility solutions,https://www.crunchbase.com/organization/optimus-ride
PolySync,5,2016,9/1/16,Software,Builds tools and software to accelerate development of self-driving cars,https://www.crunchbase.com/organization/harbrick-technologies#/entity
Momenta.ai,5,2016,11/14/16,Digital Mapping,Develops software for mapping and path planning for self-driving cars,https://www.crunchbase.com/organization/momenta-ai#/entity
Cognata,5,2017,6/1/17,Sensors,Provides driving validation platform for the AV industry,https://www.crunchbase.com/organization/cognata#/entity
Veniam,4.9,2014,12/2/14,Driverless Cars,Buids network of connected vehicles bring data to cloud. Designed for Avs,https://www.crunchbase.com/funding-round/e5e418907f0047bdc23e4b53440abc7e
SB Drive,4.59,2017,3/24/17,Software,Develops AV Technology for public transport,https://www.crunchbase.com/organization/sb-drive
Renovo Auto,4.5,2014,9/7/14,Driverless Cars,Builds tech for self-driving systems with a focus on data analytics,https://www.crunchbase.com/funding-round/c986ae8ddb12230c21cc07e1db3f7e03
Starsky Robotics,3.75,2017,3/1/17,Driverless Cars,Developing driverless trucks,https://www.crunchbase.com/funding-round/1213f942d43729429068af1b560a5589
nuTonomy,3.6,2016,1/28/16,Software,,https://www.crunchbase.com/funding-round/63b6a1c95c96383ba1358b51af0cdcec
BestMile,3.5,2016,7/21/16,AI,Fleet optimization platform for Avs,https://www.crunchbase.com/funding-round/cff16fd445c9307f771f0207821b7764
AEye Inc.,3.09,2016,3/31/16,LiDAR,Advanced vision hardware software and algorithms that act as eyes and visual cortex of Avs,https://www.crunchbase.com/funding-round/9f41f65855f72cb295930de90fb8dd4b
otonomo,3,2015,12/3/15,Software,Cloud-based data exchange platform for AV cars to be connected,https://www.crunchbase.com/funding-round/f60cb2cbf5d0962d4938be041d4cb343
DeepScale,3,2017,3/21/17,Sensors,company develops perceptual systems for semi-autonomous and autonomous vehicles,https://www.crunchbase.com/funding-round/0961193d018933eb6d6c8ac01f93d40f
Nauto Inc.,2.85,2015,4/14/15,AI,AI powered AV Tech company,https://www.crunchbase.com/funding-round/ab2e30fccbfdf177e637990ee57334a9
FiveAI,2.7,2016,7/1/16,AI,U.K. Startup ,https://www.crunchbase.com/organization/fiveai#/entity
Swift Navigation,2.6,2014,8/21/14,Digital Mapping,,https://www.crunchbase.com/funding-round/5d2dee4b8c0026b5825bbf493d0b7d96
Chronocam,2.5,2015,1/20/15,Sensors,,https://www.crunchbase.com/funding-round/a76e562aff7afe573cc653d35b281419
