,date,open,high,low,close,volume,Name,RealName,dat,value
49,2014-04-01,209.02,218.16,208.58,216.97,7371422,TSLA,Tesla,1,4.4480816444423095
70,2014-05-01,207.08,214.02,205.69,207.73,5444670,TSLA,Tesla,1,-13.344735524778912
112,2014-07-01,242.46,243.44,238.7,239.72,4341242,TSLA,Tesla,1,2.76503622411797
134,2014-08-01,226.09,237.5,226.0,233.27,11898133,TSLA,Tesla,1,-2.9012654012654004
176,2014-10-01,242.2,242.66,235.65,240.24,5946510,TSLA,Tesla,1,3.7126575720946393
218,2014-12-01,241.16,242.47,229.01,231.64,8619351,TSLA,Tesla,1,23.482061943600396
301,2015-04-01,188.7,192.3,186.05,187.59,3794621,TSLA,Tesla,1,-17.00659204530372
322,2015-05-01,229.94,231.77,220.405,226.03,5281689,TSLA,Tesla,1,-9.388655041090395
342,2015-06-01,251.41,251.6,247.47,249.45,2505057,TSLA,Tesla,1,-7.3193386587404765
364,2015-07-01,271.11,272.62,267.8503,269.15,2101224,TSLA,Tesla,1,12.789674391317094
407,2015-09-01,240.34,246.0,236.97,238.63,5454765,TSLA,Tesla,1,-0.52109388027347
428,2015-10-01,247.51,248.5,237.13,239.88,4572964,TSLA,Tesla,1,1.1341118934187773
470,2015-12-01,231.06,238.0,231.05,237.19,3733955,TSLA,Tesla,1,20.43769676043465
511,2016-02-01,188.76,199.52,182.75,196.94,5297639,TSLA,Tesla,1,5.682854843037298
531,2016-03-01,194.25,195.9484,182.7,186.35,6712159,TSLA,Tesla,1,-21.566564249337098
553,2016-04-01,244.825,247.9,233.25,237.59,15997509,TSLA,Tesla,1,8.211878302058663
595,2016-06-01,221.48,222.4,216.89,219.56,2982695,TSLA,Tesla,1,1.4133949191685922
617,2016-07-01,206.14,218.24,206.0,216.5,5399951,TSLA,Tesla,1,-5.87365766705795
637,2016-08-01,235.5,236.63,229.38,230.01,4016284,TSLA,Tesla,1,14.56392887383572
660,2016-09-01,209.01,211.0999,200.5,200.77,7943138,TSLA,Tesla,1,5.230882121704502
702,2016-11-01,198.04,198.5,188.105,190.79,7060036,TSLA,Tesla,1,4.898834396305254
723,2016-12-01,188.25,188.53,181.0,181.88,5126401,TSLA,Tesla,1,-27.026159524955872
764,2017-02-01,253.05,253.2,249.05,249.24,3958829,TSLA,Tesla,1,-0.3119750419966407
783,2017-03-01,254.18,254.85,249.11,250.02,4809488,TSLA,Tesla,1,-22.553666016169494
825,2017-05-01,314.88,327.25,314.81,322.83,8829565,TSLA,Tesla,1,-5.15321561829774
847,2017-06-01,344.0,344.88,337.29,340.37,7607996,TSLA,Tesla,1,6.508746127608979
889,2017-08-01,323.0,324.45,316.13,319.57,8303102,TSLA,Tesla,1,-10.08159819921215
912,2017-09-01,356.12,357.59,353.6902,355.4,3049546,TSLA,Tesla,1,10.688924878534943
954,2017-11-01,332.25,332.6089,320.26,321.08,8457336,TSLA,Tesla,1,4.746680585913292
975,2017-12-01,305.44,310.32,305.05,306.53,4292868,TSLA,Tesla,1,-12.231925554760208
1016,2018-02-01,351.0,359.66,348.63,349.25,4197687,TSLA,Tesla,1,5.53591393950382
1035,2018-03-01,345.01,348.67,330.07,330.93,6885601,TSLA,Tesla,1,10.339423846359026
1077,2018-05-01,293.51,300.82,293.22,299.92,4625603,TSLA,Tesla,1,2.775683640600378
1099,2018-06-01,285.86,291.95,283.839,291.82,5424386,TSLA,Tesla,1,-2.9982715064486047
1141,2018-08-01,297.99,303.0,293.0,300.84,10129430,TSLA,Tesla,1,-3.1734792404248515
1183,2018-10-01,305.77,311.44,301.05,310.7,21777597,TSLA,Tesla,1,-9.75368885790635
1206,2018-11-01,338.26,347.84,334.725,344.28,8000132,TSLA,Tesla,1,248.52679904638015
1308,2014-04-01,98.5459,98.8862,98.4237,98.7815,539186,TM,Toyota Motors,1,3.180605098368947
1329,2014-05-01,95.9895,96.103,95.4224,95.7365,340954,TM,Toyota Motors,1,-10.248657993073868
1371,2014-07-01,105.9445,106.6861,105.8747,106.6686,500984,TM,Toyota Motors,1,3.971374600123591
1393,2014-08-01,102.6989,103.0217,102.3298,102.5942,206880,TM,Toyota Motors,1,-0.2654876719812802
1435,2014-10-01,104.0049,104.04899999999999,102.6998,102.8673,676844,TM,Toyota Motors,1,-6.635184220414643
1477,2014-12-01,109.9309,110.7334,109.8339,110.1778,486011,TM,Toyota Motors,1,-11.045929571642636
1560,2015-04-01,123.7251,124.0206,123.2242,123.8592,358920,TM,Toyota Motors,1,-1.0574918319580067
1581,2015-05-01,124.1007,125.18299999999999,124.0739,125.18299999999999,247083,TM,Toyota Motors,1,1.9819943120209182
1601,2015-06-01,123.251,123.412,122.3655,122.7501,280124,TM,Toyota Motors,1,2.724476858767559
1623,2015-07-01,119.6018,119.7091,119.083,119.4945,157147,TM,Toyota Motors,1,16.84458173092437
1666,2015-09-01,103.37700000000001,103.6901,102.0354,102.2679,426040,TM,Toyota Motors,1,-4.7074214567848145
1687,2015-10-01,107.4559,107.8005,106.3132,107.3199,278044,TM,Toyota Motors,1,-6.0196682837977455
1729,2015-12-01,114.0398,114.6112,113.8585,114.194,201086,TM,Toyota Motors,1,4.584752903249456
1770,2016-02-01,108.8253,109.5263,108.0635,109.18799999999999,416729,TM,Toyota Motors,1,13.147248520219513
1790,2016-03-01,95.4942,96.7185,95.1224,96.5008,344665,TM,Toyota Motors,1,0.866504027310026
1812,2016-04-01,95.6072,96.1246,95.1821,95.6718,531788,TM,Toyota Motors,1,0.20318859462618807
1854,2016-06-01,96.3186,96.3556,95.0085,95.4778,540235,TM,Toyota Motors,1,3.7033416532526946
1876,2016-07-01,92.0128,92.5949,91.815,92.0682,515141,TM,Toyota Motors,1,-10.419887621317894
