Type,Response ID,Start Date,End Date,Status,Source Type,InteractPedestrian,InteractBicycle,CircumstancesCoded,FeelingsProvingGround,SafetyHuman,SafetyAV,AVSafetyPotential,RegulationTesting,RegulationSpeed,RegulationSchoolZone,RegulationShareData,AdvocacyIssues,BikePghPosition,PayingAttentionAV,FamiliarityTechnoology,ZipCode
Public,260279884,02/22/2017 10:38:27 AM PST,02/22/2017 10:46:22 AM PST,COMPLETE,Survey Link,No,Yes,9,Approve,2,4,Yes,Yes,Not sure,Not sure,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15203
Public,260293425,02/22/2017 5:59:59 PM PST,02/22/2017 6:04:04 PM PST,COMPLETE,Survey Link,Yes,Yes,9,Disapprove,2,1,No,No,No,No,No,Neutral,Actively Oppose,To a moderate extent,Somewhat familiar,15201
Public,260293589,02/22/2017 6:06:17 PM PST,02/22/2017 6:15:05 PM PST,COMPLETE,Survey Link,No,Yes,9,Disapprove,2,2,Not sure,Yes,Not sure,Yes,Not sure,Neutral,Neither Support nor Oppose,To little extent,Somewhat familiar,15222
Public,260299834,02/22/2017 10:56:42 PM PST,02/22/2017 11:03:27 PM PST,COMPLETE,Survey Link,No,No,9,Neutral,2,4,Yes,Yes,Yes,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15106
Public,260335956,02/23/2017 11:20:08 AM PST,02/23/2017 11:22:05 AM PST,COMPLETE,Survey Link,No,Yes,9,Somewhat Approve,4,4,Maybe,Yes,Yes,No,Not sure,Disagree,Actively Support,To little extent,Mostly Unfamiliar,15202
Public,260336053,02/23/2017 11:22:32 AM PST,02/23/2017 11:25:24 AM PST,COMPLETE,Survey Link,Yes,Yes,9,Approve,2,5,Yes,Yes,No,Yes,Yes,Agree,Actively Support,To a large extent,Extremely familiar,15222
Public,260337614,02/23/2017 12:06:47 PM PST,02/23/2017 12:10:23 PM PST,COMPLETE,Survey Link,Yes,Yes,9,Somewhat Approve,3,2,Yes,Yes,No,No,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,15218
Public,260338089,02/23/2017 12:10:41 PM PST,02/23/2017 12:15:17 PM PST,COMPLETE,Survey Link,No,Yes,9,Somewhat Approve,3,No experience,Yes,Yes,Yes,Yes,No,Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,20910
Public,260340302,02/23/2017 1:07:09 PM PST,02/23/2017 1:32:39 PM PST,COMPLETE,Survey Link,Not sure,Not sure,9,Disapprove,1,1,No,Yes,Yes,Yes,Not sure,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15224
Public,260348627,02/23/2017 4:54:09 PM PST,02/23/2017 4:59:40 PM PST,COMPLETE,Survey Link,No,Yes,9,Somewhat Approve,4,No experience,Not sure,Yes,Yes,No,Yes,Disagree,Neither Support nor Oppose,To some extent,Not familiar at all,15212
Public,260351228,02/23/2017 6:29:58 PM PST,02/23/2017 6:36:30 PM PST,COMPLETE,Survey Link,No,Yes,9,Approve,2,5,Yes,Yes,Yes,No,Yes,Neutral,Actively Support,To some extent,Not familiar at all,15143
Public,260390313,02/24/2017 9:47:25 AM PST,02/24/2017 9:49:22 AM PST,COMPLETE,Survey Link,Yes,No,9,Disapprove,3,2,No,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To some extent,Mostly Unfamiliar,15201
Public,260392018,02/24/2017 10:59:52 AM PST,02/24/2017 11:03:17 AM PST,COMPLETE,Survey Link,No,No,9,Approve,4,5,Yes,Not sure,Not sure,No,No,Neutral,Actively Support,To a large extent,Somewhat familiar,15206
Public,260395694,02/24/2017 1:09:14 PM PST,02/24/2017 1:19:19 PM PST,COMPLETE,Survey Link,Yes,No,9,Approve,4,5,Yes,No,No,No,Not sure,Disagree,Actively Support,To a large extent,Somewhat familiar,15206
Public,260572612,02/25/2017 3:29:42 PM PST,02/25/2017 3:44:29 PM PST,COMPLETE,Survey Link,Not sure,Yes,9,Approve,3,3,Yes,No,Yes,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15212
Public,260574797,02/25/2017 5:57:20 PM PST,02/25/2017 6:12:19 PM PST,COMPLETE,Survey Link,Not sure,Not sure,9,Neutral,2,2,Maybe,Yes,Yes,Not sure,Yes,Strongly Agree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15232
Public,260662578,02/27/2017 12:22:06 PM PST,02/27/2017 12:28:33 PM PST,COMPLETE,Survey Link,Yes,No,9,Disapprove,2,2,Maybe,Yes,Yes,Yes,Yes,Neutral,No Opinion,To a moderate extent,Mostly Unfamiliar,15213
Public,260672890,02/27/2017 4:48:16 PM PST,02/27/2017 4:58:07 PM PST,COMPLETE,Survey Link,Yes,No,3,Approve,4,4,Yes,Not sure,Yes,Not sure,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15216
Public,260686595,02/28/2017 6:16:17 AM PST,02/28/2017 6:27:58 AM PST,COMPLETE,Survey Link,No,No,9,Approve,3,4,Yes,Yes,Yes,Not sure,Yes,Strongly Agree,Actively Support,To a moderate extent,Mostly Unfamiliar,15219
Public,260718035,03/01/2017 7:13:40 AM PST,03/01/2017 7:17:40 AM PST,COMPLETE,Survey Link,Yes,No,9,Somewhat Disapprove,3,3,Maybe,Yes,Yes,Not sure,Yes,Agree,No Opinion,To some extent,Mostly Unfamiliar,15201
Public,260889886,03/06/2017 6:17:15 AM PST,03/06/2017 6:25:54 AM PST,COMPLETE,Survey Link,Yes,Yes,9,Somewhat Disapprove,2,3,Yes,Yes,Yes,Not sure,Yes,Neutral,Actively Oppose,To a large extent,Mostly familiar,15212
Public,260891557,03/06/2017 7:14:34 AM PST,03/06/2017 7:16:51 AM PST,COMPLETE,Survey Link,Yes,No,9,Approve,4,3,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Support,To little extent,Somewhat familiar,15211
Public,260893004,03/06/2017 8:07:04 AM PST,03/06/2017 8:16:36 AM PST,COMPLETE,Survey Link,No,No,9,Approve,3,5,Yes,Yes,Yes,No,Yes,Disagree,Actively Support,To a large extent,Extremely familiar,15238
Public,260897338,03/06/2017 11:08:55 AM PST,03/06/2017 11:14:56 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,2,Yes,No,Yes,Yes,No,Agree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15241
Public,260897560,03/06/2017 11:21:52 AM PST,03/06/2017 11:24:33 AM PST,COMPLETE,Survey Link,No,Yes,9,Neutral,2,3,Maybe,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15206
Public,260899860,03/06/2017 12:45:13 PM PST,03/06/2017 12:51:21 PM PST,COMPLETE,Survey Link,No,Yes,9,Disapprove,4,1,No,Yes,Yes,Yes,No,Agree,Actively Oppose,To little extent,Not familiar at all,15209
Public,260903393,03/06/2017 3:09:42 PM PST,03/06/2017 3:13:00 PM PST,COMPLETE,Survey Link,No,No,9,Neutral,4,4,Yes,Yes,Not sure,Not sure,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15206
Public,260939951,03/07/2017 4:17:45 AM PST,03/07/2017 4:22:20 AM PST,COMPLETE,Survey Link,No,No,9,Disapprove,3,1,No,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To some extent,Somewhat familiar,15204
Public,260279204,02/22/2017 10:17:08 AM PST,02/22/2017 10:21:19 AM PST,COMPLETE,Survey Link,No,Yes,4,Approve,4,4,Yes,Yes,No,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15206
Public,260279298,02/22/2017 10:19:36 AM PST,02/22/2017 10:40:24 AM PST,COMPLETE,Survey Link,Yes,Not sure,4,Disapprove,3,3,Maybe,Yes,Not sure,Yes,Yes,Agree,Neither Support nor Oppose,To a large extent,Extremely familiar,15201
Public,260281724,02/22/2017 11:38:09 AM PST,02/22/2017 12:43:04 PM PST,COMPLETE,Survey Link,No,Yes,4,Approve,1,4,Yes,Yes,No,No,Yes,Neutral,Actively Support,To a large extent,Mostly familiar,15232
Public,260282334,02/22/2017 11:57:38 AM PST,02/22/2017 12:05:14 PM PST,COMPLETE,Survey Link,No,Yes,4,Neutral,2,3,Yes,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,15224
Public,260282772,02/22/2017 12:07:51 PM PST,02/22/2017 12:14:05 PM PST,COMPLETE,Social,Yes,Yes,4,Somewhat Disapprove,4,2,Maybe,Yes,Yes,Yes,Yes,Strongly Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15219
Public,260286793,02/22/2017 2:19:07 PM PST,02/22/2017 2:21:34 PM PST,COMPLETE,Survey Link,Yes,Yes,4,Somewhat Disapprove,1,1,Maybe,Yes,Not sure,Not sure,Yes,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15206
