date,Arcimoto,Ferrari,FiatChrysler,Ford,GM,Google,HarleyDavidson,Honda,KandiTechnologiesInc,NIO,Nvidia,SpartanMotors,TataMotors,Tesla,Toyota,WorkhorseGroupInc
1/21/2014,0,0,0,12.6217,31.246,582.4319,59.1538,34.744,13.33,0,15.2614,6.2552,30.6401,176.68,103.2031,1.101
1/22/2014,0,0,0,12.7294,31.6209,583.0925,58.5931,34.6481,13.9,0,15.2424,6.246,31.2079,178.56,104.2569,1.15
1/23/2014,0,0,0,12.6371,31.3112,580.63,57.7344,33.9677,13.11,0,15.1853,6.0882,30.3512,181.5,102.2607,1.2
1/24/2014,0,0,0,12.1756,30.0154,562.4769,56.0958,33.1477,12.37,0,14.7954,5.8005,28.7276,174.6,100.9927,1.25
1/27/2014,0,0,0,12.0833,29.9584,551.1656,56.2711,33.2175,11.61,0,14.7004,5.6241,27.1438,169.62,100.2645,1.139
1/28/2014,0,0,0,12.091,29.9991,562.0665,56.8757,33.2,12.19,0,14.843,5.587,28.7475,178.38,100.9499,1.139
1/29/2014,0,0,0,11.8313,29.6242,554.0135,56.1133,33.3571,11.84,0,14.7004,5.4664,27.9905,175.23,100.4102,1.139
1/30/2014,0,0,0,11.8235,30.0236,568.2647,55.3686,33.3222,12.17,0,14.9476,5.4942,28.2495,182.84,100.3759,1.131
1/31/2014,0,0,0,11.5987,29.4042,591.0755,54.0542,32.7203,11.96,0,14.9286,5.3364,27.7414,181.41,98.3197,1.149
2/3/2014,0,0,0,11.2808,28.7278,567.2817,53.6512,31.7869,11.22,0,14.7289,5.0859,26.6358,177.11,96.5977,1.25
2/4/2014,0,0,0,11.5289,29.1923,569.6491,54.615,31.3333,11.67,0,14.8145,5.1601,27.6916,178.73,96.3749,1.2
2/5/2014,0,0,0,11.4204,28.7196,572.1716,54.4573,31.3769,11.62,0,14.6813,5.0395,27.9008,174.42,99.0908,1.26
2/6/2014,0,0,0,11.5134,28.7115,580.56,56.5339,31.3159,12.6,0,14.8715,5.1508,28.7077,178.38,99.3478,1.199
2/7/2014,0,0,0,11.6064,29.4287,589.3087,56.937,31.8829,13.04,0,15.0902,5.1694,28.877,186.53,100.5644,1.2
2/10/2014,0,0,0,11.5056,28.4425,587.0515,56.5953,31.8218,13.81,0,15.1378,5.0116,30.5006,196.56,100.2731,1.25
2/11/2014,0,0,0,11.5987,28.7278,595.6851,56.6829,32.0137,13.48,0,15.4515,4.7889,30.5006,196.62,101.0184,1.2
2/12/2014,0,0,0,11.6297,28.9804,593.9383,57.1035,32.4673,13.35,0,16.003,4.826,30.6401,195.32,100.7186,1.112
2/13/2014,0,0,0,11.6917,28.687,600.5499,56.7442,32.2928,13.28,0,16.507,5.1323,30.919,199.63,99.5106,1.2
2/14/2014,0,0,0,11.8158,29.2983,602.0014,57.1798,32.0573,13.194,0,17.03,5.1879,32.1442,198.23,98.671,1.2
2/18/2014,0,0,0,11.9321,29.5917,606.0454,56.1062,32.4237,13.88,0,17.0205,5.3086,31.7259,203.7,99.622,1.2
2/19/2014,0,0,0,11.8235,29.3635,601.7712,55.5255,31.9265,13.35,0,17.2487,4.9931,31.696,193.64,98.7138,1.095
2/20/2014,0,0,0,11.839,29.7546,602.6571,56.5902,31.5427,13.67,0,17.8572,5.1972,32.1741,209.97,98.8081,1.1
2/21/2014,0,0,0,11.7537,29.9013,602.4969,56.599,31.5252,13.36,0,17.7241,5.1879,32.6921,209.6,99.6734,1.4
2/24/2014,0,0,0,11.7692,29.7872,606.8613,57.0038,31.5078,15.56,0,17.9808,5.4014,32.6522,217.65,99.5277,1.525
2/25/2014,0,0,0,11.746,29.4205,610.61,56.3086,31.6124,15.57,0,17.8997,5.2344,32.6323,248,99.7847,1.699
2/26/2014,0,0,0,11.8313,30.0154,610.6951,56.6254,31.4554,15.82,0,17.871,5.3643,33.6882,253,99.0222,1.5
2/27/2014,0,0,0,11.9321,29.9665,610.2146,57.5494,31.7782,16.46,0,17.6704,5.3272,34.9134,252.54,99.3992,1.4
2/28/2014,0,0,0,11.9321,29.502,608.4328,58.1301,31.4467,16.69,0,17.5558,5.2622,34.744,244.81,98.7824,1.241
3/3/2014,0,0,0,11.7848,29.5102,601.9463,57.2326,31.752,17.33,0,17.4698,5.1044,34.3356,250.56,97.3259,1.231
3/4/2014,0,0,0,11.9166,30.0969,608.0625,58.4733,32.2143,18.35,0,17.6513,5.29,34.8437,254.84,98.7052,1.2
3/5/2014,0,0,0,12.1181,30.5778,609.7391,58.9309,32.2056,19.9,0,17.8041,5.3364,34.495,252.66,97.0346,1.132
3/6/2014,0,0,0,12.1491,30.5941,610.4148,59.6437,32.5371,19.3,0,17.5558,5.3272,34.5548,252.94,98.2255,1.162
3/7/2014,0,0,0,12.1104,30.7163,608.0024,59.9341,32.3801,19.4,0,17.5367,5.2529,33.8774,246.21,97.6343,1.2
3/10/2014,0,0,0,12.0251,30.2273,606.3908,59.3181,31.9003,19.05,0,17.2788,5.2622,33.9472,238.84,97.1031,1.1
3/11/2014,0,0,0,11.8623,28.6707,600.595,59.9253,32.1794,17.82,0,17.4507,5.1508,33.4591,234.41,96.3492,1.3
3/12/2014,0,0,0,11.9398,28.4099,604.2536,59.8285,31.8916,17.98,0,17.4985,5.1787,32.9809,241.49,95.3554,1.3
3/13/2014,0,0,0,11.7692,27.7824,595.1245,59.1421,31.2635,17.64,0,16.9445,4.9838,32.3534,237.79,94.4215,1.2
3/14/2014,0,0,0,11.6917,28.0291,586.9864,59.1509,30.9408,17.36,0,17.0209,4.9745,32.5725,230.97,93.1793,1.175
3/17/2014,0,0,0,11.8468,28.4731,596.646,59.5205,31.3159,21.41,0,17.0209,5.0395,33.3097,233.98,94.8156,1.15
3/18/2014,0,0,0,12.0096,28.9171,606.2356,59.9956,30.8448,21.16,0,17.4221,5.1508,33.0606,240.04,94.096,1.15
3/19/2014,0,0,0,12.0018,28.7033,600.2246,59.6877,30.7052,19.04,0,17.723,5.0302,32.4729,235.84,93.1107,1.1
3/20/2014,0,0,0,12.0561,28.991,599.1786,59.8109,30.5308,18.37,0,17.7373,5.0023,32.8714,234.91,92.194,1.08
3/21/2014,0,0,0,11.9941,28.7855,592.1115,59.5381,30.5395,18.9,0,17.7086,4.9745,32.971,228.89,91.9884,1.07
3/24/2014,0,0,0,11.9321,28.8924,579.544,58.8077,30.0074,17.6,0,17.6227,4.8817,33.0307,220.17,92.4767,1.025
3/25/2014,0,0,0,11.8855,28.3744,579.9394,58.4293,30.2255,17.45,0,17.6227,4.8446,33.8276,220.44,92.9222,1.099
3/26/2014,0,0,0,11.8235,28.136,566.551,58.8341,30.2389,16.22,0,17.2215,4.6775,34.5647,212.96,96.4345,1.05
3/27/2014,0,0,0,11.8235,28.3744,557.6971,58.1477,30.3267,15.7,0,16.9923,4.761,34.0767,207.32,97.3506,1.099
3/28/2014,0,0,0,11.9786,28.5553,560.6351,58.2269,30.5812,16.14,0,17.0973,4.7332,34.4452,212.37,98.4412,1.1
3/31/2014,0,0,0,12.0949,28.3004,557.8123,58.6141,31.0201,16.4,0,17.1069,4.7703,35.272,208.45,98.5023,1.003
4/1/2014,0,0,0,12.6531,28.2346,568.0124,60.0396,30.8972,15.8,0,17.8137,4.9188,35.9095,216.97,98.7815,1.1
4/2/2014,0,0,0,12.7616,28.6786,568.1176,60.4708,31.1693,16.57,0,17.6991,4.9374,36.6566,230.29,98.9734,1.1
4/3/2014,0,0,0,12.7074,29.1391,571.5,60.3916,31.2396,15.73,0,17.8901,4.9095,36.1984,225.4,98.4674,1.003
4/4/2014,0,0,0,12.5058,28.6211,545.25,59.6877,30.9323,14.08,0,17.3361,4.8167,35.8796,212.225,97.0714,1.09
4/7/2014,0,0,0,12.3585,28.0455,540.63,57.9893,30.2301,13.19,0,17.3934,4.7425,36.1585,207.52,97.1848,1.09
4/8/2014,0,0,0,12.4825,28.3908,557.51,58.7461,29.6333,14.34,0,18.0143,4.9838,36.6566,215.46,95.1869,1
4/9/2014,0,0,0,12.281,27.6426,567.04,59.7317,30.0107,14.38,0,17.9952,5.1508,37.812,216.93,93.9916,1.14
4/10/2014,0,0,0,12.1181,27.3795,546.69,58.6317,29.247,12.74,0,17.5558,5.0116,37.6626,204.19,90.205,1.174
4/11/2014,0,0,0,12.1181,26.2531,537.76,57.6462,29.6157,12.26,0,17.3075,5.0116,37.2542,203.78,91.5138,1.15
4/14/2014,0,0,0,12.1724,26.7629,545.2,57.391,30.0195,12.16,0,17.4985,4.8446,38.1507,198.09,93.6339,
4/15/2014,0,0,0,12.281,27.4289,548.7,57.523,29.9141,11.77,0,17.6227,4.7425,36.4773,193.91,93.2325,1.15
4/16/2014,0,0,0,12.4593,27.9304,563.9,58.5613,30.3355,11.88,0,17.6609,4.826,37.1945,199.11,94.6372,1.15
4/17/2014,0,0,0,12.405,27.9386,543.34,58.6405,29.9931,11.9,0,17.7277,4.9188,37.304,198.12,94.2446,1.2
4/21/2014,0,0,0,12.3895,27.9386,539.37,59.4325,29.6771,12.62,0,17.871,4.9559,37.832,204.38,94.7855,1.2
4/22/2014,0,0,0,12.4825,28.1442,545.5,63.2427,29.5367,13.46,0,18.0238,5.0766,37.8718,218.64,94.5936,1.037
4/23/2014,0,0,0,12.5833,28.2757,537.51,63.1107,29.7123,12.88,0,18.234,4.8817,37.5331,207.99,94.358,
4/24/2014,0,0,0,12.6531,28.0948,534.44,63.0315,29.563,12.61,0,18.3963,4.7982,37.6825,207.86,93.3896,1.037
4/25/2014,0,0,0,12.2344,27.7249,523.1,63.0491,28.9925,12.15,0,17.8901,4.6682,37.1745,199.85,92.9097,1.099
4/28/2014,0,0,0,12.3817,27.7577,522.98,63.7971,28.6853,11.08,0,17.8137,4.7982,37.0251,198.51,93.4157,1.1
4/29/2014,0,0,0,12.498,27.9468,536.33,64.5978,28.7818,11.6,0,17.8519,4.826,37.0251,206.92,93.7909,1.05
