date,open,high,low,close,volume,Name,RealName
2014-01-21,171.24,177.29,170.81,176.68,9745765,TSLA,Tesla
2014-01-22,177.81,180.319,174.76,178.56,7036758,TSLA,Tesla
2014-01-23,177.23,182.38,173.42,181.5,7899515,TSLA,Tesla
2014-01-24,177.85,180.48,173.531,174.6,7711296,TSLA,Tesla
2014-01-27,175.16,177.92,164.71,169.62,8737773,TSLA,Tesla
2014-01-28,171.5,178.98,171.0,178.38,6128237,TSLA,Tesla
2014-01-29,175.3,179.09,173.131,175.23,5956817,TSLA,Tesla
2014-01-30,178.0,184.78,177.01,182.84,8575210,TSLA,Tesla
2014-01-31,178.85,186.0,178.5146,181.41,6512951,TSLA,Tesla
2014-02-03,182.89,184.8797,175.16,177.11,6778609,TSLA,Tesla
2014-02-04,180.7,181.6,176.2,178.73,4690883,TSLA,Tesla
2014-02-05,178.3,180.59,169.36,174.42,7275952,TSLA,Tesla
2014-02-06,176.3,180.11,176.0,178.38,5847953,TSLA,Tesla
2014-02-07,181.01,186.63,179.6,186.53,8964054,TSLA,Tesla
2014-02-10,189.34,199.3,189.32,196.56,12989286,TSLA,Tesla
2014-02-11,199.19,202.2,192.7,196.62,10734472,TSLA,Tesla
2014-02-12,195.78,198.269,194.32,195.32,5181313,TSLA,Tesla
2014-02-13,193.34,202.72,193.25,199.63,8174049,TSLA,Tesla
2014-02-14,198.1,201.88,197.0,198.23,6173462,TSLA,Tesla
2014-02-18,205.244,206.0,201.3601,203.7,9355871,TSLA,Tesla
2014-02-19,203.7,203.7,193.41,193.64,16419899,TSLA,Tesla
2014-02-20,215.01,215.21,206.27,209.97,18022262,TSLA,Tesla
2014-02-21,211.64,213.98,209.19,209.6,7828981,TSLA,Tesla
2014-02-24,208.7599,218.36,208.32,217.65,8303133,TSLA,Tesla
2014-02-25,230.0,259.2,228.45,248.0,32797000,TSLA,Tesla
2014-02-26,258.58,265.0,247.5,253.0,24771194,TSLA,Tesla
2014-02-27,261.25,261.9,248.33,252.54,17970707,TSLA,Tesla
2014-02-28,249.65,252.68,242.55,244.81,14612693,TSLA,Tesla
2014-03-03,237.26,251.65,234.99,250.56,13081828,TSLA,Tesla
2014-03-04,258.48,260.0,252.83,254.84,8765392,TSLA,Tesla
2014-03-05,256.72,256.99,251.8,252.66,5946736,TSLA,Tesla
2014-03-06,254.14,257.5,249.45,252.94,7374719,TSLA,Tesla
2014-03-07,252.94,254.85,244.41,246.21,7818465,TSLA,Tesla
2014-03-10,242.7,243.0,236.06,238.84,7745751,TSLA,Tesla
2014-03-11,236.5,244.6,232.4262,234.41,8836349,TSLA,Tesla
2014-03-12,231.5,247.5,231.11,241.49,9763911,TSLA,Tesla
2014-03-13,243.79,244.19,234.0,237.79,6236325,TSLA,Tesla
2014-03-14,235.29,236.9365,228.32,230.97,8289733,TSLA,Tesla
2014-03-17,234.95,237.93,230.5,233.98,5912592,TSLA,Tesla
2014-03-18,236.95,241.5,235.02,240.04,6242349,TSLA,Tesla
2014-03-19,241.39,241.55,233.51,235.84,5071327,TSLA,Tesla
2014-03-20,236.16,239.25,233.36,234.91,3817905,TSLA,Tesla
2014-03-21,236.02,236.2,227.5,228.89,8227311,TSLA,Tesla
2014-03-24,229.75,229.9,210.27,220.17,11332947,TSLA,Tesla
2014-03-25,224.14,227.05,217.9,220.44,7865375,TSLA,Tesla
2014-03-26,221.95,222.6,211.3501,212.96,6907306,TSLA,Tesla
2014-03-27,212.37,213.6,203.0,207.32,9505307,TSLA,Tesla
2014-03-28,212.8,216.72,210.27,212.37,9684761,TSLA,Tesla
2014-03-31,216.5,216.75,206.39,208.45,8380023,TSLA,Tesla
2014-04-01,209.02,218.16,208.58,216.97,7371422,TSLA,Tesla
2014-04-02,220.0,230.89,218.05,230.29,10732542,TSLA,Tesla
2014-04-03,230.3,235.73,222.0,225.4,10923734,TSLA,Tesla
2014-04-04,226.01,228.27,211.25,212.225,11345618,TSLA,Tesla
2014-04-07,205.81,216.2,203.51,207.52,9855478,TSLA,Tesla
2014-04-08,210.05,216.4899,206.42,215.46,6889296,TSLA,Tesla
2014-04-09,216.76,218.45,210.89,216.93,5157923,TSLA,Tesla
2014-04-10,216.82,217.5,203.7901,204.19,7211492,TSLA,Tesla
2014-04-11,200.61,207.0,198.6,203.78,9071300,TSLA,Tesla
2014-04-14,207.6,208.44,194.41,198.09,7703031,TSLA,Tesla
2014-04-15,199.09,199.29,184.32,193.91,13667071,TSLA,Tesla
2014-04-16,197.0,199.99,190.82,199.11,7205319,TSLA,Tesla
2014-04-17,199.61,202.29,194.08,198.12,5929506,TSLA,Tesla
2014-04-21,197.08,206.2,194.0,204.38,5266490,TSLA,Tesla
2014-04-22,206.36,219.33,205.01,218.64,9809333,TSLA,Tesla
2014-04-23,216.33,216.74,207.0,207.99,7295609,TSLA,Tesla
2014-04-24,210.81,212.8,203.2,207.86,5504768,TSLA,Tesla
2014-04-25,202.0,206.7,197.65,199.85,6996658,TSLA,Tesla
2014-04-28,200.0,203.7899,190.5,198.51,7041983,TSLA,Tesla
2014-04-29,198.21,207.149,195.5301,206.92,5787369,TSLA,Tesla
2014-04-30,203.6,208.16,201.28,207.89,4443453,TSLA,Tesla
2014-05-01,207.08,214.02,205.69,207.73,5444670,TSLA,Tesla
2014-05-02,208.6,211.36,206.52,210.91,4091394,TSLA,Tesla
2014-05-05,209.48,217.69,208.52,216.61,5152343,TSLA,Tesla
2014-05-06,216.6,218.6596,206.85,207.28,5636725,TSLA,Tesla
2014-05-07,209.64,210.2,197.25,201.35,10179291,TSLA,Tesla
2014-05-08,182.0,194.4,178.0,178.59,20056591,TSLA,Tesla
2014-05-09,179.86,183.4,177.22,182.26,8495159,TSLA,Tesla
2014-05-12,183.87,187.19,179.88,184.67,7004330,TSLA,Tesla
2014-05-13,183.76,191.34,183.0,190.16,7097242,TSLA,Tesla
2014-05-14,188.95,193.48,187.1,190.62,5414945,TSLA,Tesla
2014-05-15,189.98,192.6599,185.3,188.59,6046139,TSLA,Tesla
2014-05-16,188.95,192.04,187.72,191.56,4489312,TSLA,Tesla
2014-05-19,190.72,196.89,190.0,196.09,4571660,TSLA,Tesla
2014-05-20,196.94,199.33,193.0701,195.3,5553877,TSLA,Tesla
2014-05-21,196.18,199.87,194.79,199.45,5290755,TSLA,Tesla
2014-05-22,200.35,206.88,199.5604,204.88,6216255,TSLA,Tesla
2014-05-23,204.53,207.76,202.5,207.3,4010931,TSLA,Tesla
2014-05-27,208.52,213.87,207.7,211.56,5346788,TSLA,Tesla
2014-05-28,210.02,212.77,205.26,210.24,5496278,TSLA,Tesla
2014-05-29,210.57,212.49,207.72,210.24,3694596,TSLA,Tesla
2014-05-30,210.3,214.8,207.02,207.77,5586068,TSLA,Tesla
2014-06-02,207.33,209.35,201.67,204.7,4668115,TSLA,Tesla
2014-06-03,203.49,208.0,202.59,204.94,3866182,TSLA,Tesla
2014-06-04,204.35,206.26,200.396,203.99,3434502,TSLA,Tesla
2014-06-05,204.47,209.2,204.05,206.9,4059285,TSLA,Tesla
2014-06-06,209.75,210.81,207.18,208.171,3074900,TSLA,Tesla
2014-06-09,207.95,209.99,204.2,205.31,2813066,TSLA,Tesla
2014-06-10,204.43,206.97,201.55,202.3,3522336,TSLA,Tesla
2014-06-11,201.5,205.0,199.251,204.47,3980491,TSLA,Tesla
2014-06-12,205.1,209.88,202.71,203.52,5997144,TSLA,Tesla
2014-06-13,204.78,206.79,201.584,206.42,3546789,TSLA,Tesla
2014-06-16,206.76,225.49,206.26,224.61,13246352,TSLA,Tesla
2014-06-17,224.11,235.54,222.85,231.67,13304907,TSLA,Tesla
2014-06-18,231.5,231.71,226.12,227.12,6947053,TSLA,Tesla
2014-06-19,228.88,235.31,227.0,227.79,8801907,TSLA,Tesla
2014-06-20,228.52,231.29,226.2,229.59,4908077,TSLA,Tesla
2014-06-23,229.51,238.99,228.22,237.22,7800189,TSLA,Tesla
2014-06-24,238.97,241.88,231.6278,232.5,8081109,TSLA,Tesla
2014-06-25,233.05,237.55,230.24,236.891,5803257,TSLA,Tesla
2014-06-26,237.17,240.4,234.211,235.6,5122972,TSLA,Tesla
2014-06-27,234.69,240.0,234.5001,239.06,5638787,TSLA,Tesla
2014-06-30,239.55,244.49,239.0,240.06,4833602,TSLA,Tesla
2014-07-01,242.46,243.44,238.7,239.72,4341242,TSLA,Tesla
2014-07-02,240.66,242.33,227.07,229.425,8035072,TSLA,Tesla
2014-07-03,231.29,231.8984,224.0,229.25,5166716,TSLA,Tesla
2014-07-07,227.5,229.78,220.4,222.66,5901080,TSLA,Tesla
2014-07-08,218.65,220.96,214.27,219.07,7846165,TSLA,Tesla
2014-07-09,221.27,224.22,219.21,223.06,4117729,TSLA,Tesla
2014-07-10,217.18,222.22,216.04,219.46,4865246,TSLA,Tesla
2014-07-11,220.61,221.6,217.6,218.13,3307113,TSLA,Tesla
2014-07-14,219.99,228.79,215.4502,226.7,7208573,TSLA,Tesla
2014-07-15,226.73,227.65,218.1,219.58,5732031,TSLA,Tesla
2014-07-16,221.82,224.8,216.82,217.16,4051097,TSLA,Tesla
2014-07-17,216.16,220.55,213.6,215.4,4650956,TSLA,Tesla
2014-07-18,215.95,221.21,215.93,220.0201,4260618,TSLA,Tesla
2014-07-21,217.25,223.21,216.72,220.54,3825251,TSLA,Tesla
2014-07-22,222.19,223.3,219.1113,219.58,2732485,TSLA,Tesla
2014-07-23,220.01,224.75,219.43,222.49,3088731,TSLA,Tesla
2014-07-24,223.25,225.1,220.8,223.54,3248410,TSLA,Tesla
2014-07-25,222.72,226.97,221.75,223.57,3090383,TSLA,Tesla
2014-07-28,224.25,232.0,221.402,224.82,6517611,TSLA,Tesla
2014-07-29,226.61,228.3,224.86,225.01,3387187,TSLA,Tesla
2014-07-30,221.92,229.6,221.04,228.92,4927823,TSLA,Tesla
2014-07-31,229.26,231.4,221.5,223.3,7749058,TSLA,Tesla
2014-08-01,226.09,237.5,226.0,233.27,11898133,TSLA,Tesla
2014-08-04,234.38,240.5,233.27,238.52,5967406,TSLA,Tesla
2014-08-05,237.47,242.99,235.69,238.49,5388581,TSLA,Tesla
2014-08-06,238.9,251.42,238.58,248.9301,9249265,TSLA,Tesla
2014-08-07,250.12,256.688,249.12,252.39,7478926,TSLA,Tesla
2014-08-08,251.16,251.76,246.5,248.13,5099061,TSLA,Tesla
2014-08-11,255.48,263.74,255.0,259.32,8101276,TSLA,Tesla
2014-08-12,258.08,260.3,254.5801,259.96,6390412,TSLA,Tesla
2014-08-13,262.01,265.64,259.61,260.31,6893939,TSLA,Tesla
2014-08-14,262.49,263.0,258.54,261.38,4126634,TSLA,Tesla
2014-08-15,261.48,262.09,258.5,262.01,3867874,TSLA,Tesla
2014-08-18,263.25,267.26,259.75,259.94,5849231,TSLA,Tesla
2014-08-19,258.87,259.33,251.62,256.76,5340136,TSLA,Tesla
2014-08-20,254.67,258.74,253.0,255.71,3027863,TSLA,Tesla
2014-08-21,256.52,258.8,253.26,254.34,2919241,TSLA,Tesla
2014-08-22,254.54,256.9499,252.61,256.78,2836959,TSLA,Tesla
2014-08-25,258.19,263.68,258.19,262.55,4318053,TSLA,Tesla
2014-08-26,264.98,265.5,261.66,261.74,3822572,TSLA,Tesla
2014-08-27,263.5,264.24,260.29,263.25,2990532,TSLA,Tesla
2014-08-28,261.89,264.48,261.64,263.86,2854737,TSLA,Tesla
2014-08-29,268.7,272.0,267.51,269.7,6453958,TSLA,Tesla
2014-09-02,275.5,284.89,274.3,284.12,9852351,TSLA,Tesla
2014-09-03,287.67,288.0,280.1,281.19,6779735,TSLA,Tesla
2014-09-04,284.01,291.42,280.4,286.04,8341749,TSLA,Tesla
2014-09-05,282.55,282.9,272.51,277.39,11176167,TSLA,Tesla
2014-09-08,277.62,284.88,277.5227,282.11,5505040,TSLA,Tesla
2014-09-09,282.99,285.49,277.0,278.48,4567958,TSLA,Tesla
2014-09-10,279.5,281.41,273.66,281.1,3785988,TSLA,Tesla
2014-09-11,280.46,284.79,278.63,280.31,3768584,TSLA,Tesla
2014-09-12,280.5,282.39,277.0,279.2,3328302,TSLA,Tesla
2014-09-15,274.37,274.4,249.13,253.86,16464952,TSLA,Tesla
2014-09-16,255.15,262.46,252.42,260.74,8303972,TSLA,Tesla
2014-09-17,262.41,264.7,259.5,261.38,5179923,TSLA,Tesla
2014-09-18,263.36,265.6,262.32,263.82,3699314,TSLA,Tesla
2014-09-19,257.99,261.43,255.27,259.32,6811714,TSLA,Tesla
2014-09-22,255.0,256.02,244.71,250.03,8222963,TSLA,Tesla
2014-09-23,245.22,253.8,245.0,250.41,5660048,TSLA,Tesla
2014-09-24,251.12,252.84,247.04,252.14,3754376,TSLA,Tesla
2014-09-25,252.52,254.96,246.1,246.95,4843712,TSLA,Tesla
2014-09-26,248.25,249.73,246.07,246.6,3798841,TSLA,Tesla
2014-09-29,244.0,248.64,241.38,245.26,4854687,TSLA,Tesla
2014-09-30,246.92,247.65,240.1249,242.68,4248127,TSLA,Tesla
2014-10-01,242.2,242.66,235.65,240.24,5946510,TSLA,Tesla
2014-10-02,250.2,252.79,245.36,251.42,9002001,TSLA,Tesla
2014-10-03,253.06,256.5,251.033,255.21,5408665,TSLA,Tesla
2014-10-06,259.13,262.49,257.8,260.62,7719055,TSLA,Tesla
2014-10-07,258.53,261.46,255.73,259.57,4491569,TSLA,Tesla
2014-10-08,260.1,262.88,252.64,259.28,5062615,TSLA,Tesla
2014-10-09,262.25,265.54,254.4,257.01,7361316,TSLA,Tesla
2014-10-10,244.64,245.89,235.2,236.91,12898275,TSLA,Tesla
2014-10-13,238.57,238.9628,221.0,224.59,11276552,TSLA,Tesla
2014-10-14,228.25,232.47,223.0,227.06,7112339,TSLA,Tesla
2014-10-15,220.0,230.99,217.32,229.7,9151648,TSLA,Tesla
2014-10-16,219.72,229.92,219.1,226.35,5404565,TSLA,Tesla
2014-10-17,233.38,234.77,226.55,227.48,10551850,TSLA,Tesla
2014-10-20,226.72,232.4,225.51,230.47,3499686,TSLA,Tesla
2014-10-21,234.27,235.39,230.8,235.34,4130345,TSLA,Tesla
2014-10-22,233.19,237.39,230.56,231.1,4123397,TSLA,Tesla
2014-10-23,234.655,236.28,232.0,235.29,3499882,TSLA,Tesla
2014-10-24,236.27,237.8,231.2,235.24,3466927,TSLA,Tesla
2014-10-27,234.25,234.61,220.31,221.67,9553348,TSLA,Tesla
2014-10-28,229.6,244.6,228.25,242.77,10516297,TSLA,Tesla
2014-10-29,241.13,241.5,235.64,238.1,4967640,TSLA,Tesla
2014-10-30,238.14,240.5,235.06,238.66,3228371,TSLA,Tesla
2014-10-31,242.51,243.12,238.75,241.7,3775327,TSLA,Tesla
2014-11-03,243.0,247.56,241.32,242.59,4207268,TSLA,Tesla
2014-11-04,240.49,242.35,236.53,238.93,3682572,TSLA,Tesla
2014-11-05,241.0,241.36,230.53,230.97,9045925,TSLA,Tesla
2014-11-06,234.49,246.69,228.5,241.22,15354717,TSLA,Tesla
2014-11-07,242.19,242.8399,237.2,240.2,5161023,TSLA,Tesla
2014-11-10,239.11,242.88,236.8,241.93,4577208,TSLA,Tesla
2014-11-11,242.55,251.82,242.0,251.08,7952565,TSLA,Tesla
2014-11-12,249.72,252.34,245.58,249.1,5870818,TSLA,Tesla
2014-11-13,250.62,255.75,250.25,251.7,6236036,TSLA,Tesla
2014-11-14,250.0,258.85,248.5,258.68,6101145,TSLA,Tesla
2014-11-17,257.49,259.0,252.02,253.98,4025695,TSLA,Tesla
2014-11-18,255.86,259.99,255.51,257.7,4474294,TSLA,Tesla
2014-11-19,250.61,251.88,245.6,247.74,7918486,TSLA,Tesla
2014-11-20,247.95,250.93,246.0,248.71,3587220,TSLA,Tesla
2014-11-21,252.21,252.78,242.17,242.78,7485059,TSLA,Tesla
2014-11-24,245.2,247.6,240.64,246.72,4789708,TSLA,Tesla
2014-11-25,247.35,249.72,246.0905,248.09,3159804,TSLA,Tesla
2014-11-26,248.34,249.0,246.6003,248.44,1981819,TSLA,Tesla
2014-11-28,245.35,246.6899,242.52,244.52,2119688,TSLA,Tesla
2014-12-01,241.16,242.47,229.01,231.64,8619351,TSLA,Tesla
2014-12-02,234.57,234.88,228.0,231.43,5887046,TSLA,Tesla
2014-12-03,226.25,229.72,225.5,229.3,5307733,TSLA,Tesla
2014-12-04,228.6,230.9,227.81,228.28,3879208,TSLA,Tesla
2014-12-05,228.67,229.389,222.26,223.71,6063619,TSLA,Tesla
2014-12-08,221.54,224.86,212.34,214.36,9225619,TSLA,Tesla
2014-12-09,209.34,217.7294,204.27,216.89,9431502,TSLA,Tesla
2014-12-10,214.13,216.77,207.7,209.84,7314139,TSLA,Tesla
2014-12-11,210.53,215.43,208.23,208.88,6694398,TSLA,Tesla
2014-12-12,204.82,211.68,204.5,207.0,7173782,TSLA,Tesla
2014-12-15,209.29,209.8,202.67,204.04,5218252,TSLA,Tesla
2014-12-16,200.89,203.68,195.37,197.81,8426105,TSLA,Tesla
2014-12-17,193.06,206.65,192.65,205.82,7367834,TSLA,Tesla
2014-12-18,212.38,218.44,211.8,218.26,7483349,TSLA,Tesla
2014-12-19,220.19,220.4,214.5,219.29,6910461,TSLA,Tesla
2014-12-22,220.0,224.06,218.26,222.6,4806917,TSLA,Tesla
2014-12-23,223.81,224.315,219.5242,220.97,4513321,TSLA,Tesla
2014-12-24,219.77,222.5,219.25,222.26,1333518,TSLA,Tesla
2014-12-26,221.51,228.5,221.5,227.82,3327016,TSLA,Tesla
